,Embedded_text,majority_sentiment
0,"Unglaublich. Ich hatte  @JanJosefLiefers  noch gelobt, weil er Intensivstation besucht hatte. Das nehme ich zurück. Jetzt nutzt er den Besuch, um dem Staat Erpressung von Ungeimpften zu unterstellen. Er hat gar nichts dazu gelernt. Nori Soron ¯\_(ツ)_/¯ @NoriSoron  · 8. Okt. Widerlich. Er benutzt es um weiter zu hetzen.  #allesaufdentisch  #allesdichtmachen  #Liefers 3.384 2.760 20.113",2
1,"Kicking of our  @EPPGroup  bureau meeting in Rome with  @Antonio_Tajani  and  @HerbertDorfmann  today. Important debates on agriculture, migration and jobs for next generations. #EPPRome21 #VerticePPE  @forza_italia  @SVP_Suedtirol 2 12 55",3
2,"Die Schulbürokratie hält mit der #Corona-Herausforderung nicht Schritt, die Finanzverwaltung wird in die Auszahlung der Hilfen nicht einbezogen. So geht Vertrauen in die Politik verloren zu einem Zeitpunkt, wo sie das Vertrauen der Bevölkerung besonders benötigt. (tm) #MerzMail 116 80 761",2
3,"""Es wird keine Individualisierung von Risiken geben. Das ist keine Sache, die den einzelnen Bürgerinnen und Bürgern zuzuschreiben ist, sondern es muss geholfen werden"", macht  @OlafScholz  in der Bundespressekonferenz deutlich. #Flutkatastrophe 7 8 71",3
4,"""Diese Regierung hat das Vertrauen der Bevölkerung komplett verloren! Es ist Zeit für die Vertrauensfrage hier im Parlament."" #Osterlockdown #MerkelMussWeg #AfD 0:33 1.260 Mal angezeigt 18 48 184",2
5,"Unsere Migrationspolitik muss ethischen Ansprüchen nicht nur der Absicht nach, sondern auch im Ergebnis gerecht werden. Über #Migration, #Rechtsstaat & #Europa habe ich mit  @manuelbewarder  &  @LeubecherX  gesprochen.  @welt welt.de Teuteberg zu Migration: „Von Kontrolle keine Rede“ - WELT Linda Teuteberg hält Europas Versuche, die Migration zu steuern, für gescheitert. Im Interview kritisiert die migrationspolitische Sprecherin der FDP die Zurückhaltung der Bundesregierung – und wirft... 8 39 238",2
6,Frankfurter Allgemeine gesamt @FAZ_NET  · 7. März 2021 Die beiden SPD-Minister wollen den Mindestlohn auf zwölf Euro anheben. In einem gemeinsamen Eckpunktepapier kündigen sie zudem ein Bundestariftreuegesetz an. http://faz.net/aktuell/wirtschaft/eckpunkte-papier-so-wollen-heil-und-scholz-den-mindestlohn-hochtreiben-17232532.html… 6 8 61,3
7,Tyler Kingkade @tylerkingkade  · 6. Jan. 2021 MAGA protesters are spraying pepper spray back at police on Capitol Hill https://twitter.com/KBoomhauer/status/1346883995410132992/video/1… 9 3 22,3
8,"#Deutschland #Staatsfunk WDR aktuell @WDRaktuell  · 13. Juli 2021 Die EU-Finanzminister haben grünes Licht für die Investitionsprogramme von zwölf Mitgliedsstaaten gegeben. Mit gut 750 Milliarden Euro an EU-Mitteln soll die Coronakrise bewältigt werden. Am meisten profitieren davon Spanien, Italien und Deutschland. Diesen Thread anzeigen 15 9 32",1
9,". @KaczmarekOliver : ""Diese BAföG-Zahlen sind dramatisch."" Und sie gehen auf das Konto von Frau Karliczek.  @OlafScholz  hatte #BAföG-Mittel für eine echte Trendwende bereitgestellt - doch #Karliczek ließ sie liegen, forderte stattdessen eine Weiterentwicklung in der nächsten WP.  Statistisches Bundesamt @destatis  · 5. Aug. #BAföG: Im Jahr 2020 gab es 6 % weniger Geförderte als im Vorjahr. Die Ausgaben für BAföG-Leistungen stiegen jedoch um 9,2 % auf rund 2,9 Milliarden Euro. Mehr dazu: https://destatis.de/DE/Presse/Pressemitteilungen/2021/08/PD21_369_214.html… 1 8 26",2
